Course,UCAS,25 Above,Disability,Ethnicity,Gender,British,English native Language,Parent He attendance,Polar 4 Score,SLC,Care Leaver,Student Visa,Refugee,London Permanent Residence,UCAS Points,English,Maths,A Levels,Btec,Previous work,Bursary,Attendance,AWM year 1,AWM year 2,AWM year 3,Overall AWM,Progress,First Sit,Second Sit,Fails,No Submissions,Late Submission,Pass,Re Takes,desertion
BA,yes,no,no,Black/Black British African,Female,yes,yes,yes,3.0,yes,no,no,no,yes,168.0,4.0,5.0,no,yes,no,no,65,62,66.0,76.0,68.0,yes,5,1.0,0,3,2,100.0,no,no
BA,yes,no,no,White,Male,yes,no,no,2.0,yes,no,no,no,yes,82.0,4.0,4.0,no,yes,no,yes,63,58,58.0,56.0,57.333333333333336,yes,6,0.0,0,0,0,100.0,no,no
BA,yes,no,no,White,Male,yes,yes,yes,4.0,yes,no,no,no,yes,96.0,4.0,4.0,no,no,no,no,83,69,83.0,85.0,79.0,yes,3,3.0,0,2,0,100.0,no,no
BA,yes,yes,no,Asian,Female,no,yes,no,2.0,no,no,no,no,no,86.0,5.0,4.0,no,no,yes,yes,100,53,68.0,81.0,67.33333333333333,yes,5,1.0,0,0,1,100.0,no,no
BA,yes,no,no,White,Male,no,no,no,3.0,no,,yes,no,no,,,,yes,no,no,no,94,78,69.0,43.0,63.333333333333336,yes,3,3.0,0,0,0,100.0,no,no
BA,yes,no,no,Asian,Male,yes,yes,yes,5.0,yes,no,no,no,yes,100.0,7.0,7.0,yes,no,no,no,95,72,40.0,70.0,60.666666666666664,yes,5,1.0,0,0,2,100.0,no,no
BA,yes,no,no,Black/Black British African,Female,yes,no,yes,5.0,no,no,no,no,no,89.0,,,no,no,no,no,40,44,34.0,,39.0,no,1,1.0,4,5,2,66.66666666666667,yes,yes
BA,yes,yes,yes,Black/Black British African,Female,yes,yes,no,5.0,yes,no,no,no,no,100.0,5.0,5.0,yes,no,yes,yes,84,61,49.0,55.0,55.0,yes,3,3.0,0,3,0,100.0,no,no
ba,yes,no,no,White,Female,yes,yes,no,4.0,yes,no,no,no,yes,102.0,5.0,3.0,no,yes,yes,no,95,44,81.0,50.0,58.333333333333336,yes,3,3.0,0,2,0,100.0,yes,no
ba,yes,no,no,Asian,Male,yes,yes,yes,4.0,yes,no,no,no,no,88.0,3.0,4.0,yes,no,no,no,71,63,62.0,41.0,55.333333333333336,yes,3,3.0,0,2,1,100.0,yes,no
ba,yes,no,no,White,Male,no,no,yes,4.0,yes,,no,no,no,95.0,,,no,yes,no,no,41,30,,,30.0,no,4,2.0,2,1,1,33.333333333333336,no,yes
ba,yes,no,no,Asian,Male,yes,yes,yes,4.0,yes,no,no,no,yes,96.0,6.0,4.0,no,no,no,no,98,70,49.0,63.0,60.666666666666664,yes,4,2.0,0,3,1,100.0,no,no
ba,yes,no,no,Black/Black British African,Male,no,no,no,,no,no,yes,no,no,,,,no,no,yes,no,81,69,60.0,73.0,67.33333333333333,yes,5,1.0,0,1,1,100.0,no,no
ba,yes,no,no,White,Female,yes,yes,yes,1.0,yes,no,no,no,yes,80.0,5.0,4.0,no,yes,yes,yes,60,56,61.0,80.0,65.66666666666667,yes,3,3.0,0,4,1,100.0,yes,no
ba,yes,no,yes,White,Male,no,no,yes,,no,no,yes,no,,,,,yes,no,yes,yes,62,49,66.0,84.0,66.33333333333333,yes,3,3.0,0,2,2,100.0,no,no
ba,yes,no,no,White,Male,yes,,no,5.0,yes,no,no,no,yes,90.0,4.0,6.0,no,no,yes,no,71,73,72.0,57.0,67.33333333333333,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,no,Asian,Female,yes,,yes,3.0,yes,,no,no,yes,96.0,4.0,,no,yes,no,no,77,79,47.0,78.0,68.0,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,no,White,Male,no,no,no,3.0,yes,no,no,no,no,144.0,4.0,5.0,no,yes,yes,no,57,42,42.0,53.0,45.666666666666664,yes,2,4.0,0,4,1,100.0,yes,no
ba,yes,no,no,White,Male,no,no,no,,no,no,yes,no,no,,,,no,no,no,no,95,44,73.0,55.0,57.333333333333336,yes,4,2.0,0,3,0,100.0,no,no
ba,yes,no,no,White,Female,no,no,no,,no,no,yes,no,no,88.0,,4.0,no,no,no,no,72,55,40.0,58.0,51.0,yes,3,3.0,0,4,2,100.0,yes,no
ba,yes,no,no,White,Female,no,no,no,4.0,yes,no,no,no,yes,112.0,5.0,4.0,yes,no,no,no,95,67,51.0,82.0,66.66666666666667,yes,5,1.0,0,0,1,100.0,no,no
ba,yes,no,no,Asian,Female,yes,,no,3.0,yes,no,no,no,yes,112.0,5.0,3.0,no,yes,yes,no,73,76,84.0,57.0,72.33333333333333,yes,5,1.0,0,1,1,100.0,no,no
ba,yes,no,no,Asian,Female,yes,yes,no,3.0,yes,no,no,no,yes,162.0,6.0,6.0,no,yes,no,no,74,74,52.0,51.0,59.0,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,no,White,Male,yes,no,no,4.0,yes,no,no,no,no,84.0,5.0,5.0,no,yes,yes,no,45,46,45.0,67.0,52.666666666666664,yes,4,2.0,0,1,0,100.0,no,no
ba,yes,no,no,Other ethnic background,Female,no,no,no,,yes,no,yes,no,no,104.0,,,yes,no,no,no,73,54,79.0,35.0,56.0,no,4,2.0,4,1,1,66.66666666666667,yes,no
ba,yes,no,no,White,Male,no,no,no,5.0,yes,no,no,no,yes,90.0,,,no,no,yes,no,61,56,47.0,45.0,49.333333333333336,yes,5,1.0,0,0,0,100.0,no,no
ba,yes,no,no,Asian,Male,yes,no,no,5.0,yes,no,no,no,yes,96.0,4.0,4.0,no,yes,yes,no,65,77,85.0,42.0,68.0,yes,3,3.0,0,2,0,100.0,no,no
ba,yes,no,no,Asian,Male,yes,no,no,3.0,yes,no,no,no,yes,96.0,4.0,5.0,yes,no,no,no,96,77,43.0,70.0,63.333333333333336,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,no,White,Male,yes,yes,yes,4.0,yes,no,no,no,no,96.0,5.0,5.0,yes,no,yes,no,47,44,75.0,47.0,55.333333333333336,yes,5,1.0,0,2,0,100.0,no,no
ba,yes,no,no,White,Male,yes,yes,yes,4.0,yes,no,no,no,yes,114.0,3.0,4.0,no,yes,yes,no,95,84,77.0,53.0,71.33333333333333,yes,4,2.0,0,3,2,100.0,no,no
ba,yes,no,no,White,Male,yes,yes,no,4.0,yes,no,no,no,yes,84.0,6.0,4.0,yes,no,yes,no,92,63,60.0,37.0,53.333333333333336,no,5,1.0,4,2,0,66.66666666666667,yes,no
ba,yes,no,no,White,Male,yes,yes,yes,1.0,yes,no,no,no,yes,104.0,5.0,4.0,yes,no,yes,yes,82,80,71.0,54.0,68.33333333333333,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,no,White,Female,yes,yes,yes,4.0,yes,no,,no,yes,90.0,4.0,4.0,yes,no,no,no,68,61,81.0,83.0,75.0,yes,4,2.0,0,1,1,100.0,no,no
ba,yes,no,no,White,Male,yes,yes,yes,5.0,yes,no,,no,yes,98.0,5.0,4.0,no,yes,yes,no,69,68,85.0,62.0,71.66666666666667,yes,3,3.0,0,1,1,100.0,no,no
ba,yes,no,no,White,Female,yes,yes,no,4.0,yes,no,,no,yes,84.0,6.0,4.0,yes,no,yes,no,97,65,80.0,57.0,67.33333333333333,yes,6,0.0,0,1,0,100.0,no,no
ba,yes,no,no,Asian,Male,yes,yes,,4.0,yes,no,,no,yes,136.0,4.0,5.0,no,yes,no,no,92,44,66.0,41.0,50.333333333333336,yes,5,1.0,0,0,0,100.0,no,no
ba,yes,no,no,Black/Black British African,Male,yes,yes,yes,4.0,yes,no,,no,yes,91.0,4.0,4.0,no,yes,yes,no,61,44,66.0,85.0,65.0,yes,4,2.0,0,3,0,100.0,no,no
ba,yes,no,no,White,Female,no,no,,5.0,yes,no,,no,yes,92.0,,,no,no,yes,no,76,83,75.0,62.0,73.33333333333333,yes,3,3.0,0,2,2,100.0,no,no
ba,yes,no,no,White,Male,yes,no,yes,5.0,yes,no,,no,yes,88.0,4.0,6.0,no,yes,yes,no,65,46,59.0,64.0,56.333333333333336,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,no,Black/Black British African,Female,no,no,no,5.0,no,,no,yes,yes,118.0,6.0,,yes,no,yes,yes,77,73,77.0,67.0,72.33333333333333,yes,3,3.0,0,1,1,100.0,no,no
ba,yes,no,no,White,Male,no,no,no,2.0,yes,no,no,no,no,101.0,5.0,5.0,yes,no,yes,yes,50,38,,,38.0,no,1,2.0,3,2,0,50.0,no,yes
ba,yes,no,no,White,Male,yes,no,yes,5.0,yes,no,no,no,no,103.0,5.0,4.0,no,yes,yes,no,76,63,85.0,68.0,72.0,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,no,White,Male,yes,yes,no,2.0,yes,no,no,no,yes,114.0,5.0,6.0,no,yes,no,yes,94,81,55.0,62.0,66.0,yes,4,2.0,0,0,0,100.0,no,no
ba,yes,no,no,Asian,Male,yes,no,yes,5.0,yes,no,no,no,yes,98.0,4.0,4.0,no,yes,yes,no,94,59,83.0,51.0,64.33333333333333,yes,4,2.0,0,0,1,100.0,no,no
ba,yes,yes,no,Other ethnic background,Female,yes,no,yes,4.0,yes,yes,no,no,yes,103.0,,,no,yes,yes,yes,83,71,48.0,54.0,57.666666666666664,yes,4,2.0,0,1,0,100.0,no,no
ba,yes,no,no,Other ethnic background,Male,no,no,no,,no,no,no,no,no,99.0,5.0,4.0,yes,no,yes,no,96,57,55.0,56.0,56.0,yes,3,3.0,0,1,2,100.0,no,no
ba,yes,no,no,White,Female,yes,yes,no,5.0,yes,no,no,no,yes,111.0,8.0,5.0,yes,no,yes,no,66,63,75.0,80.0,72.66666666666667,yes,3,3.0,0,3,1,100.0,no,no
ba,yes,no,yes,White,Male,yes,yes,yes,4.0,yes,no,,no,no,125.0,8.0,7.0,no,yes,yes,yes,79,64,75.0,65.0,68.0,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,no,Asian,Male,yes,no,no,1.0,yes,no,,no,yes,96.0,6.0,7.0,yes,no,yes,yes,90,52,64.0,62.0,59.333333333333336,yes,5,1.0,0,1,1,100.0,no,no
ba,yes,no,no,Asian,Male,yes,yes,no,3.0,yes,no,,no,yes,100.0,4.0,4.0,no,yes,yes,no,90,84,48.0,46.0,59.333333333333336,yes,4,2.0,0,0,0,100.0,no,no
ba,yes,no,no,Other ethnic background,Male,yes,yes,yes,4.0,yes,no,,no,yes,111.0,5.0,6.0,yes,no,no,no,72,66,62.0,71.0,66.33333333333333,yes,3,3.0,0,2,1,100.0,no,no
ba,yes,no,no,White,Female,yes,yes,yes,5.0,yes,no,,no,yes,109.0,5.0,6.0,no,yes,yes,no,78,58,70.0,50.0,59.333333333333336,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,yes,White,Male,yes,yes,yes,4.0,yes,no,,no,no,106.0,2.0,5.0,no,yes,yes,yes,67,73,46.0,70.0,63.0,yes,4,2.0,0,1,0,100.0,no,no
ba,yes,no,no,White,Female,no,no,no,3.0,yes,no,,no,no,103.0,5.0,6.0,yes,no,yes,no,92,53,87.0,42.0,59.333333333333336,yes,4,2.0,0,0,1,100.0,yes,no
ba,yes,no,no,Other ethnic background,Male,yes,no,no,4.0,yes,no,,no,yes,112.0,5.0,4.0,no,yes,no,no,69,80,81.0,49.0,70.0,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,no,White,Female,no,yes,yes,1.0,yes,no,,no,yes,136.0,4.0,5.0,yes,no,no,no,74,48,44.0,71.0,54.333333333333336,yes,3,3.0,0,1,2,100.0,no,no
ba,yes,no,no,Asian,Male,yes,yes,yes,4.0,yes,no,,no,yes,95.0,5.0,4.0,no,yes,yes,no,71,49,67.0,33.0,49.666666666666664,no,3,3.0,3,3,0,50.0,no,no
ba,yes,no,no,Other ethnic background,Female,yes,yes,no,4.0,yes,no,no,no,yes,100.0,4.0,3.0,no,yes,yes,,66,72,75.0,75.0,74.0,yes,3,3.0,0,2,2,100.0,no,no
ba,yes,no,no,Black/Black British African,Female,yes,yes,no,3.0,yes,no,no,no,no,113.0,5.0,3.0,no,yes,no,,76,84,41.0,59.0,61.333333333333336,yes,5,1.0,0,5,0,100.0,no,no
ba,yes,no,no,White,Male,no,no,yes,3.0,no,no,no,no,no,98.0,,8.0,yes,no,no,,92,44,77.0,63.0,61.333333333333336,yes,3,3.0,0,1,1,100.0,no,no
ba,yes,no,no,Asian,Female,no,no,yes,,no,no,yes,no,no,100.0,6.0,5.0,no,no,no,,73,68,64.0,53.0,61.666666666666664,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,yes,White,Male,no,no,no,3.0,yes,no,no,no,yes,95.0,2.0,2.0,no,yes,no,yes,94,62,80.0,76.0,72.66666666666667,yes,3,3.0,0,2,0,100.0,no,no
ba,yes,no,no,Other ethnic background,Female,no,yes,no,,no,no,yes,no,no,114.0,,,no,no,no,,98,69,74.0,49.0,64.0,yes,4,2.0,0,2,2,100.0,no,no
ba,yes,no,no,Asian,Female,no,no,no,,no,no,yes,no,no,106.0,4.0,4.0,yes,no,no,,71,48,78.0,57.0,61.0,yes,5,1.0,0,3,2,100.0,no,no
ba,yes,no,no,Asian,Male,yes,yes,yes,5.0,no,no,no,no,yes,104.0,5.0,6.0,yes,,no,,76,55,71.0,70.0,65.33333333333333,yes,3,3.0,0,4,1,100.0,yes,no
ba,yes,no,no,White,Female,no,no,yes,5.0,yes,no,no,no,no,107.0,6.0,7.0,no,yes,no,,51,48,35.0,,41.5,no,3,3.0,5,1,2,83.33333333333333,no,yes
ba,yes,no,no,White,Male,yes,yes,no,3.0,yes,no,no,no,no,103.0,5.0,6.0,no,yes,yes,no,62,77,79.0,53.0,69.66666666666667,yes,5,1.0,0,0,0,100.0,no,no
ba,yes,no,no,White,Male,yes,,yes,4.0,yes,no,no,no,no,100.0,5.0,4.0,yes,,yes,no,84,59,69.0,43.0,57.0,yes,3,3.0,0,2,1,100.0,yes,no
ba,yes,no,no,Other ethnic background,Female,no,no,yes,3.0,yes,no,no,no,no,113.0,3.0,6.0,no,yes,no,no,85,72,70.0,50.0,64.0,yes,3,3.0,0,2,2,100.0,yes,no
ba,yes,no,no,White,Male,no,no,yes,2.0,yes,no,no,no,yes,118.0,5.0,5.0,yes,,yes,yes,80,57,45.0,69.0,57.0,yes,6,0.0,0,1,0,100.0,no,no
ba,yes,no,no,White,Female,yes,yes,no,5.0,yes,no,no,no,no,102.0,4.0,4.0,yes,,yes,no,60,54,62.0,79.0,65.0,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,no,Asian,Male,yes,no,yes,5.0,yes,no,no,no,yes,108.0,4.0,4.0,no,yes,yes,no,77,51,56.0,62.0,56.333333333333336,yes,4,2.0,0,0,0,100.0,no,no
ba,yes,no,no,Asian,Male,yes,yes,yes,4.0,yes,,no,no,yes,109.0,4.0,4.0,yes,no,yes,no,98,52,72.0,40.0,54.666666666666664,yes,4,2.0,0,0,0,100.0,yes,no
ba,yes,no,no,White,Male,no,yes,yes,1.0,yes,,no,no,yes,119.0,5.0,4.0,yes,no,yes,no,85,47,52.0,35.0,44.666666666666664,no,4,0.0,2,1,0,86.0,no,yes
ba,yes,no,no,White,Male,no,no,no,,no,,no,no,no,104.0,6.0,5.0,yes,no,yes,no,66,73,46.0,39.0,52.666666666666664,no,3,3.0,4,3,1,66.66666666666667,yes,no
ba,yes,no,no,White,Male,no,no,no,4.0,yes,,no,no,no,101.0,6.0,6.0,no,yes,no,no,88,41,41.0,79.0,53.666666666666664,yes,4,2.0,0,1,2,100.0,no,no
ba,yes,no,no,White,Male,no,no,no,,no,,yes,no,no,104.0,8.0,4.0,no,no,no,no,81,79,85.0,67.0,77.0,yes,3,3.0,0,0,1,100.0,no,no
ba,yes,no,no,Black/Black British African,Female,no,no,yes,3.0,yes,,no,no,no,104.0,,,no,no,yes,no,75,68,52.0,43.0,54.333333333333336,yes,4,2.0,0,4,1,100.0,yes,no
ba,yes,no,no,White,Female,yes,yes,no,3.0,no,,no,no,yes,100.0,6.0,5.0,yes,no,yes,no,76,68,76.0,41.0,61.666666666666664,yes,5,1.0,0,3,0,100.0,no,no
ba,yes,no,no,Asian,Male,yes,yes,no,3.0,yes,,no,no,yes,101.0,5.0,4.0,no,yes,no,no,78,77,58.0,85.0,73.33333333333333,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,no,White,Male,yes,yes,no,4.0,yes,no,no,no,yes,104.0,7.0,5.0,no,yes,yes,no,70,61,52.0,67.0,60.0,yes,5,1.0,0,2,0,100.0,no,no
ba,yes,no,no,White,Male,no,no,no,,no,no,yes,no,no,107.0,5.0,5.0,yes,,no,no,99,64,68.0,62.0,64.66666666666667,yes,3,3.0,0,1,1,100.0,no,no
ba,yes,no,no,Asian,Female,yes,yes,yes,3.0,no,no,no,no,yes,109.0,4.0,4.0,yes,,yes,no,62,46,67.0,50.0,54.333333333333336,yes,3,3.0,0,2,2,100.0,no,no
ba,yes,no,no,White,Male,yes,yes,,4.0,yes,no,no,no,yes,100.0,5.0,4.0,yes,no,yes,no,97,67,74.0,44.0,61.666666666666664,yes,3,3.0,0,2,2,100.0,no,no
ba,yes,no,no,White,Male,yes,yes,yes,4.0,yes,no,no,no,yes,106.0,4.0,4.0,yes,no,no,no,78,48,55.0,32.0,45.0,no,1,5.0,3,4,1,50.0,yes,no
ba,yes,no,no,White,Male,yes,yes,yes,5.0,yes,no,no,no,no,103.0,5.0,5.0,yes,no,no,no,69,69,54.0,75.0,66.0,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,no,Asian,Female,yes,yes,yes,3.0,yes,no,no,no,no,108.0,7.0,6.0,yes,no,no,,89,74,45.0,84.0,67.66666666666667,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,no,Other ethnic background,Male,no,no,yes,2.0,yes,no,no,no,no,96.0,5.0,6.0,no,yes,no,yes,75,55,62.0,52.0,56.333333333333336,yes,4,2.0,0,0,0,100.0,no,no
ba,yes,no,no,Asian,Female,yes,no,yes,5.0,yes,no,no,no,yes,99.0,7.0,5.0,yes,no,yes,,92,74,77.0,48.0,66.33333333333333,yes,3,3.0,0,0,0,100.0,yes,no
ba,yes,no,no,White,Female,yes,yes,yes,5.0,yes,no,,no,no,125.0,8.0,9.0,yes,,yes,,95,57,60.0,60.0,59.0,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,no,White,Female,yes,yes,,1.0,yes,no,,no,no,102.0,4.0,4.0,yes,,yes,yes,64,61,74.0,43.0,59.333333333333336,yes,4,2.0,0,2,1,100.0,no,no
ba,yes,no,no,White,Male,no,no,no,4.0,yes,,,no,yes,104.0,8.0,4.0,no,no,yes,,90,74,78.0,80.0,77.33333333333333,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,no,White,Female,yes,no,no,4.0,yes,,no,no,yes,117.0,7.0,5.0,yes,no,yes,,95,67,49.0,55.0,57.0,yes,3,3.0,0,2,1,100.0,no,no
ba,yes,no,no,Black/Black British African,Male,no,no,no,,no,,yes,no,no,111.0,6.0,7.0,no,no,no,,60,65,40.0,38.0,47.666666666666664,no,5,1.0,3,1,0,50.0,no,no
ba,yes,no,no,White,Male,yes,yes,no,4.0,yes,,no,no,yes,98.0,4.0,4.0,no,yes,no,no,78,62,67.0,47.0,58.666666666666664,yes,3,3.0,0,3,1,100.0,no,no
ba,yes,no,no,White,Male,no,no,no,4.0,yes,,no,no,yes,105.0,4.0,3.0,no,yes,no,no,93,48,66.0,55.0,56.333333333333336,yes,4,2.0,0,1,0,100.0,no,no
ba,yes,no,no,Other ethnic background,Female,yes,yes,no,3.0,yes,,no,no,yes,109.0,8.0,4.0,no,yes,yes,no,91,46,44.0,66.0,52.0,yes,3,3.0,0,1,2,100.0,no,no
ba,yes,no,no,Black/Black British African,Female,yes,yes,no,1.0,yes,,no,no,no,102.0,7.0,4.0,yes,no,yes,yes,84,59,49.0,51.0,53.0,yes,5,1.0,0,1,1,100.0,no,no
ba,yes,no,no,White,Female,no,no,no,4.0,yes,,no,no,no,105.0,6.0,6.0,yes,no,no,no,90,63,68.0,45.0,58.666666666666664,yes,4,2.0,0,1,1,100.0,no,no
ba,yes,no,yes,White,Male,no,no,yes,3.0,yes,,no,,yes,120.0,4.0,6.0,,no,yes,yes,44,48,31.0,,39.5,no,2,0.0,3,1,1,50.0,no,yes
ba,yes,no,no,Asian,Female,yes,yes,yes,4.0,yes,,no,no,yes,119.0,6.0,5.0,,no,no,no,60,79,68.0,73.0,73.33333333333333,yes,5,1.0,0,1,0,100.0,no,no
ba,yes,no,no,White,Male,yes,yes,no,2.0,yes,,,,no,106.0,5.0,5.0,,no,,yes,67,45,52.0,35.0,44.0,no,4,2.0,2,0,1,33.333333333333336,no,no
ba,yes,no,no,Asian,Female,yes,no,no,3.0,yes,,no,no,no,109.0,5.0,4.0,,yes,no,no,88,77,58.0,67.0,67.33333333333333,yes,6,0.0,0,0,0,100.0,no,no
ba,yes,no,yes,Black/Black British African,Female,yes,yes,no,2.0,yes,,no,no,no,107.0,5.0,6.0,yes,no,yes,yes,88,62,77.0,42.0,60.333333333333336,yes,3,3.0,0,5,3,100.0,yes,no
ba,yes,no,no,White,Male,yes,no,no,3.0,yes,,no,no,yes,118.0,4.0,6.0,yes,no,no,no,86,79,87.0,84.0,82.66666666666667,yes,3,3.0,0,1,0,100.0,no,no
ba,yes,no,no,Asian,Male,yes,yes,no,1.0,yes,,no,no,yes,98.0,7.0,7.0,yes,no,no,yes,82,67,68.0,74.0,69.66666666666667,yes,4,2.0,0,4,2,100.0,no,no
ba,yes,no,no,White,Female,yes,yes,yes,5.0,yes,,no,no,yes,112.0,7.0,5.0,yes,no,no,no,88,48,41.0,31.0,40.0,no,1,5.0,3,4,1,50.0,yes,no
ba,yes,no,no,White,Female,no,yes,yes,3.0,no,,yes,no,yes,96.0,4.0,,yes,no,yes,no,83,71,54.0,63.0,62.666666666666664,yes,6,0.0,0,0,1,100.0,no,no
ba,yes,no,yes,White,Female,no,yes,yes,3.0,no,,no,no,no,96.0,4.0,,yes,no,yes,yes,68,64,44.0,31.0,46.333333333333336,no,4,2.0,5,0,0,83.33333333333333,no,no
ba,yes,no,yes,White,Female,no,yes,yes,4.0,no,,yes,no,no,104.0,4.0,4.0,yes,no,yes,yes,80,44,48.0,77.0,56.333333333333336,yes,6,0.0,0,0,1,100.0,no,no
,yes,no,no,White,Male,no,no,no,5.0,yes,,no,no,yes,107.0,4.0,4.0,no,yes,yes,no,65,54,51.0,68.0,57.666666666666664,yes,6,0.0,0,0,1,100.0,no,no
BA,yes,yes,yes,Black/Black British African,Female,yes,yes,no,4.0,yes,,no,no,yes,98.0,5.0,4.0,yes,no,yes,yes,80,64,69.0,73.0,68.66666666666667,yes,5,1.0,0,0,0,100.0,no,no
BA,yes,yes,no,White,Female,no,no,no,2.0,yes,,no,no,yes,101.0,5.0,5.0,yes,no,yes,yes,45,41,50.0,0.0,45.5,yes,1,5.0,0,3,1,100.0,no,yes
BA,yes,yes,no,Other ethnic background,Female,yes,no,,4.0,no,,no,no,yes,129.0,4.0,4.0,yes,no,yes,no,82,59,78.0,84.0,73.66666666666667,yes,6,0.0,0,0,0,100.0,no,no
BA,yes,no,no,Black/Black British African,Male,yes,yes,yes,4.0,no,,no,no,yes,110.0,9.0,8.0,yes,no,yes,no,57,32,,,32.0,no,5,,4,1,1,66.66666666666667,no,yes
BA,yes,yes,no,Asian,Male,yes,yes,yes,3.0,yes,no,no,no,yes,130.0,6.0,5.0,yes,,yes,no,60,67,47.0,52.0,55.333333333333336,yes,4,2.0,0,1,1,100.0,no,no
BA,yes,yes,no,White,Female,no,no,yes,4.0,yes,no,no,no,yes,112.0,6.0,4.0,no,yes,no,no,84,63,61.0,41.0,55.0,yes,3,3.0,0,4,2,100.0,yes,no
BA,yes,yes,no,Black/Black British African,Female,yes,yes,yes,4.0,yes,no,no,no,yes,89.0,6.0,5.0,yes,,no,,65,57,43.0,65.0,55.0,yes,4,2.0,0,3,3,100.0,no,no
BA,yes,no,no,Black/Black British African,Male,yes,yes,yes,3.0,yes,no,no,no,yes,103.0,4.0,5.0,yes,,no,,91,66,57.0,52.0,58.333333333333336,yes,4,2.0,0,0,0,100.0,no,no
BA,yes,no,no,Black/Black British African,Female,no,no,,5.0,no,no,yes,no,no,128.0,4.0,4.0,no,yes,no,,77,78,51.0,40.0,56.333333333333336,yes,4,2.0,0,0,1,100.0,no,no
BA,yes,no,no,White,Male,yes,no,,4.0,yes,no,no,no,yes,91.0,,,no,no,no,,71,45,85.0,59.0,63.0,yes,3,3.0,0,3,2,100.0,no,no
BA,yes,no,no,Asian,Female,yes,no,no,2.0,no,no,no,no,yes,128.0,4.0,5.0,no,yes,no,yes,68,66,79.0,37.0,60.666666666666664,no,4,2.0,2,4,1,33.333333333333336,yes,no
BA,yes,yes,no,Asian,Male,yes,yes,no,3.0,no,no,no,no,no,82.0,3.0,3.0,no,yes,no,no,46,39,,,39.0,no,2,2.0,1,1,1,16.666666666666668,no,yes
BA,yes,no,no,Asian,Male,yes,yes,yes,4.0,no,no,no,no,yes,84.0,4.0,4.0,yes,no,no,no,98,47,65.0,79.0,63.666666666666664,yes,6,0.0,0,0,1,100.0,no,no
BA,yes,no,no,Asian,Male,yes,yes,yes,5.0,yes,no,no,no,no,127.0,,5.0,no,no,no,no,72,73,85.0,65.0,74.33333333333333,yes,3,3.0,0,0,0,100.0,no,no
BA,yes,yes,no,Black/Black British African,Male,yes,yes,no,4.0,yes,no,no,no,yes,120.0,4.0,4.0,yes,no,no,no,71,56,50.0,42.0,49.333333333333336,yes,5,1.0,0,1,0,100.0,no,no
BA,yes,yes,no,White,Male,no,no,yes,1.0,no,no,no,no,no,96.0,4.0,5.0,no,yes,no,no,45,47,35.0,,27.333333333333332,no,5,1.0,2,1,2,33.333333333333336,no,yes
BA,yes,no,no,Asian,Female,no,no,yes,,no,no,yes,no,no,82.0,,,no,no,yes,no,75,84,66.0,41.0,63.666666666666664,yes,3,3.0,0,2,0,100.0,yes,no
BA,yes,no,no,Asian,Male,yes,yes,yes,4.0,yes,no,no,no,no,117.0,,,no,yes,yes,no,79,59,68.0,69.0,65.33333333333333,yes,6,0.0,0,0,0,100.0,no,no
BA,yes,no,no,White,Male,yes,yes,yes,1.0,yes,,no,no,no,153.0,9.0,8.0,no,no,no,no,85,65,67.0,68.0,66.66666666666667,yes,3,3.0,0,2,2,100.0,no,no
BA,yes,no,no,Black/Black British African,Female,yes,no,no,2.0,yes,,no,no,no,97.0,,,yes,no,no,yes,74,62,59.0,69.0,63.333333333333336,yes,3,3.0,0,0,1,100.0,no,no
BA,yes,no,no,Other ethnic background,Female,no,yes,no,3.0,no,,no,no,no,93.0,8.0,5.0,yes,no,yes,,74,82,67.0,46.0,65.0,yes,3,3.0,0,0,1,100.0,no,no
BA,yes,no,no,White,Male,no,no,no,,no,,yes,no,no,116.0,,,yes,no,yes,,72,48,58.0,74.0,60.0,yes,3,3.0,0,2,2,100.0,no,no
BA,yes,no,no,White,Female,yes,yes,yes,2.0,yes,,no,no,no,133.0,7.0,4.0,yes,no,yes,yes,97,42,43.0,75.0,53.333333333333336,yes,4,2.0,0,3,0,100.0,no,no
BA,yes,no,no,White,Female,no,no,no,4.0,no,,no,no,no,121.0,5.0,6.0,no,no,no,,94,63,69.0,44.0,58.666666666666664,yes,5,1.0,0,0,0,100.0,no,no
BA,yes,yes,no,White,Female,yes,yes,yes,2.0,yes,,,no,no,96.0,4.0,5.0,yes,yes,yes,yes,83,84,62.0,41.0,62.333333333333336,yes,6,0.0,0,0,0,100.0,no,no
